Year,Team,Expenditure (£/€),Expenditure (£)
2023,England,99400000,99400000
2023,France,142944183,122363896.9
2023,Ireland,93118736,79712032.84
2023,Italy,37496556.9,32098017.04
2023,Scotland,75382000,75382000
2023,Wales,79500000,79500000
2022,England,77400000,77400000
2022,France,125699609,107602098.1
2022,Ireland,109686828,93894745.69
2022,Italy,36037805.5,30849288.33
2022,Scotland,61051000,61051000
2022,Wales,70100000,70100000
2021,England,57400000,57400000
2021,France,88150169,75458811.71
2021,Ireland,94093057,80546076.68
2021,Italy,32314997,27662468.51
2021,Scotland,48811000,48811000
2021,Wales,43800000,43800000
